"m (Meter)"	"qc (MN/m�)"	"fs (kN/m�)"	"u2 (kN/m�)"	"� (Ix)"	"� (Iy)"	" ()"	" ()"	" ()"	"Cm/s"
"5.71"	"10.09"	"65.000"	"39.52"	"0.06"	"1.02"	"Disabled"	"Disabled"	"Disabled"	"2.50"	
"5.72"	"9.95"	"62.140"	"39.62"	"0.00"	"1.25"	"Disabled"	"Disabled"	"Disabled"	"2.50"	
"5.73"	"9.78"	"62.080"	"39.69"	"0.11"	"1.19"	"Disabled"	"Disabled"	"Disabled"	"2.20"	
"5.74"	"9.63"	"60.720"	"39.79"	"0.11"	"1.19"	"Disabled"	"Disabled"	"Disabled"	"2.50"	
"5.75"	"9.53"	"59.140"	"39.88"	"0.06"	"1.13"	"Disabled"	"Disabled"	"Disabled"	"2.25"	
"5.76"	"9.44"	"59.360"	"39.89"	"0.06"	"1.13"	"Disabled"	"Disabled"	"Disabled"	"2.50"	
"5.77"	"9.35"	"57.680"	"40.00"	"0.17"	"1.08"	"Disabled"	"Disabled"	"Disabled"	"2.30"	
"5.78"	"9.33"	"55.300"	"40.11"	"0.06"	"1.08"	"Disabled"	"Disabled"	"Disabled"	"2.50"	
"5.79"	"9.28"	"53.740"	"40.20"	"0.00"	"1.13"	"Disabled"	"Disabled"	"Disabled"	"2.25"	
"5.80"	"9.25"	"53.820"	"40.25"	"0.00"	"1.19"	"Disabled"	"Disabled"	"Disabled"	"2.50"	
"5.81"	"9.25"	"51.860"	"40.26"	"0.00"	"1.13"	"Disabled"	"Disabled"	"Disabled"	"2.25"	
"5.82"	"9.25"	"51.120"	"40.42"	"0.00"	"1.25"	"Disabled"	"Disabled"	"Disabled"	"2.50"	
"5.83"	"9.27"	"50.480"	"40.48"	"0.06"	"1.13"	"Disabled"	"Disabled"	"Disabled"	"2.20"	
"5.84"	"9.29"	"49.900"	"40.53"	"0.00"	"1.13"	"Disabled"	"Disabled"	"Disabled"	"2.50"	
"5.85"	"9.31"	"48.420"	"40.67"	"-0.06"	"1.19"	"Disabled"	"Disabled"	"Disabled"	"2.25"	
"5.86"	"9.32"	"48.000"	"40.77"	"0.06"	"1.08"	"Disabled"	"Disabled"	"Disabled"	"2.50"	
"5.87"	"9.32"	"47.180"	"40.90"	"0.00"	"1.13"	"Disabled"	"Disabled"	"Disabled"	"2.33"	
"5.88"	"9.34"	"46.280"	"41.04"	"0.11"	"1.19"	"Disabled"	"Disabled"	"Disabled"	"2.20"	
"5.89"	"9.07"	"40.400"	"41.56"	"0.00"	"1.13"	"Disabled"	"Disabled"	"Disabled"	"0.02"	
"5.90"	"9.24"	"40.200"	"41.67"	"0.11"	"1.19"	"Disabled"	"Disabled"	"Disabled"	"1.67"	
"5.91"	"9.33"	"40.800"	"41.80"	"0.06"	"1.13"	"Disabled"	"Disabled"	"Disabled"	"1.67"	
"5.92"	"9.44"	"40.660"	"41.89"	"0.17"	"1.19"	"Disabled"	"Disabled"	"Disabled"	"1.50"	
"5.93"	"9.54"	"41.440"	"41.97"	"0.17"	"1.13"	"Disabled"	"Disabled"	"Disabled"	"1.80"	
"5.94"	"9.64"	"40.900"	"42.08"	"0.11"	"1.08"	"Disabled"	"Disabled"	"Disabled"	"1.64"	
"5.95"	"9.73"	"41.080"	"42.18"	"0.17"	"1.19"	"Disabled"	"Disabled"	"Disabled"	"1.67"	
"5.96"	"9.82"	"41.620"	"42.27"	"0.06"	"1.13"	"Disabled"	"Disabled"	"Disabled"	"1.67"	
"5.97"	"9.89"	"42.480"	"42.29"	"0.06"	"1.19"	"Disabled"	"Disabled"	"Disabled"	"1.67"	
"5.98"	"9.95"	"42.900"	"42.41"	"0.06"	"1.08"	"Disabled"	"Disabled"	"Disabled"	"1.64"	
"5.99"	"9.99"	"43.580"	"42.46"	"0.11"	"1.13"	"Disabled"	"Disabled"	"Disabled"	"1.67"	
"6.00"	"10.00"	"43.940"	"42.47"	"0.06"	"1.13"	"Disabled"	"Disabled"	"Disabled"	"0.50"	
"6.01"	"10.03"	"44.260"	"42.57"	"0.06"	"1.13"	"Disabled"	"Disabled"	"Disabled"	"1.67"	
"6.02"	"10.10"	"43.940"	"42.73"	"0.11"	"1.19"	"Disabled"	"Disabled"	"Disabled"	"2.00"	
"6.03"	"10.14"	"44.840"	"42.88"	"0.06"	"1.08"	"Disabled"	"Disabled"	"Disabled"	"2.17"	
"6.04"	"10.17"	"46.460"	"42.96"	"0.17"	"1.13"	"Disabled"	"Disabled"	"Disabled"	"2.20"	
"6.05"	"10.22"	"45.880"	"43.01"	"0.06"	"1.13"	"Disabled"	"Disabled"	"Disabled"	"2.31"	
"6.06"	"10.28"	"47.080"	"43.13"	"0.06"	"1.13"	"Disabled"	"Disabled"	"Disabled"	"2.20"	
"6.07"	"10.42"	"47.420"	"43.24"	"0.11"	"1.08"	"Disabled"	"Disabled"	"Disabled"	"2.17"	
"6.08"	"10.52"	"47.640"	"43.39"	"-0.06"	"1.19"	"Disabled"	"Disabled"	"Disabled"	"2.25"	
"6.09"	"10.65"	"47.460"	"43.48"	"0.11"	"1.19"	"Disabled"	"Disabled"	"Disabled"	"2.20"	
"6.10"	"10.80"	"46.760"	"43.48"	"0.06"	"1.08"	"Disabled"	"Disabled"	"Disabled"	"2.25"	
"6.11"	"11.04"	"45.780"	"43.59"	"0.06"	"1.13"	"Disabled"	"Disabled"	"Disabled"	"2.13"	
"6.12"	"11.20"	"44.660"	"43.61"	"0.06"	"1.25"	"Disabled"	"Disabled"	"Disabled"	"2.00"	
"6.13"	"11.31"	"45.820"	"43.80"	"0.11"	"1.25"	"Disabled"	"Disabled"	"Disabled"	"2.25"	
"6.14"	"11.45"	"45.660"	"43.88"	"0.06"	"1.08"	"Disabled"	"Disabled"	"Disabled"	"2.17"	
"6.15"	"11.50"	"46.380"	"43.65"	"0.06"	"1.25"	"Disabled"	"Disabled"	"Disabled"	"2.20"	
"6.16"	"11.52"	"44.600"	"43.79"	"0.11"	"1.08"	"Disabled"	"Disabled"	"Disabled"	"2.25"	
"6.17"	"11.49"	"46.260"	"44.30"	"0.11"	"1.13"	"Disabled"	"Disabled"	"Disabled"	"2.17"	
"6.18"	"11.42"	"49.780"	"44.27"	"0.00"	"1.19"	"Disabled"	"Disabled"	"Disabled"	"2.25"	
"6.19"	"11.41"	"50.060"	"44.39"	"0.00"	"1.13"	"Disabled"	"Disabled"	"Disabled"	"2.25"	
"6.20"	"11.41"	"50.520"	"44.46"	"0.11"	"1.02"	"Disabled"	"Disabled"	"Disabled"	"1.95"	
"6.21"	"11.37"	"52.400"	"44.57"	"0.17"	"1.13"	"Disabled"	"Disabled"	"Disabled"	"2.17"	
"6.22"	"11.34"	"53.180"	"44.62"	"0.23"	"1.19"	"Disabled"	"Disabled"	"Disabled"	"2.25"	
"6.23"	"11.31"	"53.300"	"44.65"	"0.06"	"1.13"	"Disabled"	"Disabled"	"Disabled"	"2.25"	
"6.24"	"11.30"	"53.780"	"44.76"	"0.23"	"1.08"	"Disabled"	"Disabled"	"Disabled"	"2.20"	
"6.25"	"11.30"	"54.080"	"44.81"	"0.17"	"1.13"	"Disabled"	"Disabled"	"Disabled"	"2.17"	
"6.26"	"11.24"	"52.760"	"45.02"	"0.11"	"1.19"	"Disabled"	"Disabled"	"Disabled"	"2.20"	
"6.27"	"11.22"	"54.360"	"45.11"	"0.06"	"1.08"	"Disabled"	"Disabled"	"Disabled"	"2.00"	
"6.28"	"11.17"	"54.000"	"45.25"	"0.06"	"1.13"	"Disabled"	"Disabled"	"Disabled"	"2.17"	
"6.29"	"11.12"	"54.160"	"45.30"	"0.06"	"1.08"	"Disabled"	"Disabled"	"Disabled"	"2.25"	
"6.30"	"11.07"	"52.820"	"45.55"	"0.17"	"1.13"	"Disabled"	"Disabled"	"Disabled"	"2.20"	
"6.31"	"11.00"	"53.960"	"45.61"	"0.06"	"1.25"	"Disabled"	"Disabled"	"Disabled"	"2.25"	
"6.32"	"10.91"	"49.300"	"45.75"	"0.00"	"1.13"	"Disabled"	"Disabled"	"Disabled"	"2.17"	
"6.33"	"10.86"	"50.540"	"45.68"	"0.17"	"1.08"	"Disabled"	"Disabled"	"Disabled"	"2.25"	
"6.34"	"10.90"	"49.340"	"45.76"	"0.11"	"1.13"	"Disabled"	"Disabled"	"Disabled"	"2.20"	
"6.35"	"10.99"	"48.520"	"45.96"	"0.06"	"1.08"	"Disabled"	"Disabled"	"Disabled"	"2.17"	
"6.36"	"10.98"	"48.100"	"45.63"	"-0.06"	"1.13"	"Disabled"	"Disabled"	"Disabled"	"1.50"	
"6.37"	"10.91"	"42.680"	"47.61"	"0.06"	"1.13"	"Disabled"	"Disabled"	"Disabled"	"0.08"	
"6.38"	"11.09"	"45.080"	"45.93"	"0.06"	"1.08"	"Disabled"	"Disabled"	"Disabled"	"1.67"	
"6.39"	"11.21"	"43.380"	"46.24"	"0.11"	"1.08"	"Disabled"	"Disabled"	"Disabled"	"1.80"	
"6.40"	"11.32"	"43.740"	"46.41"	"0.00"	"1.08"	"Disabled"	"Disabled"	"Disabled"	"2.00"	
"6.41"	"11.33"	"43.860"	"46.61"	"0.00"	"1.13"	"Disabled"	"Disabled"	"Disabled"	"2.25"	
"6.42"	"11.32"	"44.240"	"46.74"	"0.06"	"1.08"	"Disabled"	"Disabled"	"Disabled"	"2.25"	
"6.43"	"11.29"	"45.020"	"46.96"	"0.06"	"1.19"	"Disabled"	"Disabled"	"Disabled"	"2.25"	
"6.44"	"11.23"	"45.960"	"47.12"	"0.06"	"1.19"	"Disabled"	"Disabled"	"Disabled"	"2.13"	
"6.45"	"11.16"	"47.220"	"47.15"	"0.06"	"1.08"	"Disabled"	"Disabled"	"Disabled"	"2.25"	
"6.46"	"11.06"	"47.820"	"47.27"	"0.17"	"1.13"	"Disabled"	"Disabled"	"Disabled"	"2.25"	
"6.47"	"10.90"	"49.060"	"47.46"	"0.00"	"1.13"	"Disabled"	"Disabled"	"Disabled"	"2.25"	
"6.48"	"10.65"	"51.200"	"47.63"	"0.06"	"1.08"	"Disabled"	"Disabled"	"Disabled"	"2.17"	
"6.49"	"10.50"	"51.540"	"47.66"	"0.11"	"1.02"	"Disabled"	"Disabled"	"Disabled"	"2.20"	
"6.50"	"10.36"	"54.100"	"47.67"	"0.17"	"1.08"	"Disabled"	"Disabled"	"Disabled"	"2.25"	
"6.51"	"10.25"	"55.720"	"47.77"	"0.11"	"1.02"	"Disabled"	"Disabled"	"Disabled"	"2.17"	
"6.52"	"10.21"	"54.700"	"47.84"	"0.06"	"0.96"	"Disabled"	"Disabled"	"Disabled"	"2.25"	
"6.53"	"10.21"	"54.000"	"47.98"	"0.11"	"1.02"	"Disabled"	"Disabled"	"Disabled"	"2.25"	
"6.54"	"10.23"	"55.280"	"48.01"	"0.00"	"1.13"	"Disabled"	"Disabled"	"Disabled"	"2.00"	
"6.55"	"10.27"	"53.800"	"48.18"	"0.11"	"1.08"	"Disabled"	"Disabled"	"Disabled"	"2.17"	
"6.56"	"10.32"	"53.060"	"48.34"	"0.06"	"1.08"	"Disabled"	"Disabled"	"Disabled"	"2.20"	
"6.57"	"10.36"	"52.720"	"48.30"	"0.06"	"1.13"	"Disabled"	"Disabled"	"Disabled"	"2.25"	
"6.58"	"10.39"	"51.520"	"48.45"	"0.06"	"1.08"	"Disabled"	"Disabled"	"Disabled"	"2.25"	
"6.59"	"10.36"	"50.080"	"48.63"	"0.06"	"0.96"	"Disabled"	"Disabled"	"Disabled"	"2.33"	
"6.60"	"10.30"	"48.820"	"48.74"	"0.00"	"1.02"	"Disabled"	"Disabled"	"Disabled"	"2.25"	
"6.61"	"10.22"	"49.000"	"48.69"	"0.00"	"1.08"	"Disabled"	"Disabled"	"Disabled"	"2.25"	
"6.62"	"10.12"	"48.700"	"48.89"	"0.11"	"1.19"	"Disabled"	"Disabled"	"Disabled"	"2.20"	
"6.63"	"10.05"	"48.760"	"48.99"	"0.06"	"1.13"	"Disabled"	"Disabled"	"Disabled"	"2.25"	
"6.64"	"9.96"	"49.940"	"48.97"	"0.06"	"1.02"	"Disabled"	"Disabled"	"Disabled"	"2.17"	
"6.65"	"9.93"	"50.100"	"48.92"	"0.17"	"1.08"	"Disabled"	"Disabled"	"Disabled"	"2.20"	
"6.66"	"9.91"	"48.760"	"49.09"	"0.06"	"0.96"	"Disabled"	"Disabled"	"Disabled"	"2.31"	
"6.67"	"9.87"	"50.340"	"49.17"	"-0.06"	"0.96"	"Disabled"	"Disabled"	"Disabled"	"2.20"	
"6.68"	"9.87"	"50.520"	"49.28"	"0.11"	"1.08"	"Disabled"	"Disabled"	"Disabled"	"2.17"	
"6.69"	"9.90"	"50.020"	"49.35"	"0.00"	"1.08"	"Disabled"	"Disabled"	"Disabled"	"2.25"	
"6.70"	"9.89"	"51.340"	"49.51"	"0.06"	"1.08"	"Disabled"	"Disabled"	"Disabled"	"2.25"	
"6.71"	"9.96"	"50.580"	"49.07"	"-0.06"	"1.13"	"Disabled"	"Disabled"	"Disabled"	"2.25"	
"6.72"	"9.97"	"49.900"	"50.19"	"0.06"	"1.13"	"Disabled"	"Disabled"	"Disabled"	"2.17"	
"6.73"	"10.15"	"49.840"	"49.76"	"0.00"	"1.08"	"Disabled"	"Disabled"	"Disabled"	"2.25"	
"6.74"	"10.23"	"47.340"	"49.82"	"0.06"	"1.19"	"Disabled"	"Disabled"	"Disabled"	"2.25"	
"6.75"	"10.29"	"48.360"	"50.53"	"0.06"	"1.13"	"Disabled"	"Disabled"	"Disabled"	"2.13"	
"6.76"	"10.34"	"45.440"	"50.40"	"0.00"	"1.08"	"Disabled"	"Disabled"	"Disabled"	"2.25"	
"6.77"	"10.40"	"44.620"	"50.31"	"0.06"	"1.02"	"Disabled"	"Disabled"	"Disabled"	"2.50"	
"6.78"	"10.49"	"43.240"	"50.32"	"0.00"	"1.02"	"Disabled"	"Disabled"	"Disabled"	"2.25"	
"6.79"	"10.64"	"43.500"	"50.37"	"-0.23"	"1.25"	"Disabled"	"Disabled"	"Disabled"	"2.44"	
"6.80"	"10.73"	"40.060"	"50.17"	"0.11"	"0.91"	"Disabled"	"Disabled"	"Disabled"	"2.25"	
"6.81"	"10.67"	"40.600"	"50.41"	"-0.11"	"0.96"	"Disabled"	"Disabled"	"Disabled"	"2.50"	
"6.82"	"10.62"	"39.380"	"50.29"	"0.11"	"1.02"	"Disabled"	"Disabled"	"Disabled"	"2.25"	
"6.83"	"10.62"	"39.600"	"50.68"	"-0.23"	"1.19"	"Disabled"	"Disabled"	"Disabled"	"2.44"	
"6.84"	"10.54"	"32.500"	"51.13"	"-0.11"	"1.30"	"Disabled"	"Disabled"	"Disabled"	"0.03"	
"6.85"	"10.53"	"34.040"	"51.23"	"-0.29"	"1.36"	"Disabled"	"Disabled"	"Disabled"	"1.83"	
"6.86"	"10.34"	"33.340"	"51.29"	"0.00"	"1.08"	"Disabled"	"Disabled"	"Disabled"	"2.00"	
"6.87"	"10.37"	"34.720"	"51.36"	"-0.23"	"1.19"	"Disabled"	"Disabled"	"Disabled"	"2.13"	
"6.88"	"10.29"	"33.300"	"51.59"	"-0.17"	"1.30"	"Disabled"	"Disabled"	"Disabled"	"2.50"	
"6.89"	"10.29"	"29.920"	"52.13"	"0.17"	"0.96"	"Disabled"	"Disabled"	"Disabled"	"2.25"	
"6.90"	"10.27"	"29.400"	"51.85"	"-0.11"	"1.19"	"Disabled"	"Disabled"	"Disabled"	"2.25"	
"6.91"	"10.14"	"27.100"	"52.26"	"-0.23"	"1.19"	"Disabled"	"Disabled"	"Disabled"	"2.44"	
"6.92"	"10.04"	"33.500"	"51.97"	"-0.06"	"1.47"	"Disabled"	"Disabled"	"Disabled"	"2.50"	
"6.93"	"9.97"	"36.800"	"51.74"	"0.00"	"1.42"	"Disabled"	"Disabled"	"Disabled"	"2.25"	
"6.94"	"10.02"	"34.280"	"52.49"	"0.23"	"1.19"	"Disabled"	"Disabled"	"Disabled"	"2.50"	
"6.95"	"9.96"	"36.040"	"52.39"	"0.00"	"1.02"	"Disabled"	"Disabled"	"Disabled"	"2.33"	
"6.96"	"9.99"	"36.360"	"52.28"	"0.17"	"1.30"	"Disabled"	"Disabled"	"Disabled"	"2.44"	
"6.97"	"10.02"	"37.800"	"52.21"	"0.00"	"0.96"	"Disabled"	"Disabled"	"Disabled"	"2.25"	
"6.98"	"10.05"	"40.080"	"51.97"	"0.06"	"1.25"	"Disabled"	"Disabled"	"Disabled"	"2.50"	
"6.99"	"6.67"	"14.940"	"53.10"	"0.00"	"1.25"	"Disabled"	"Disabled"	"Disabled"	"0.03"	
"7.00"	"9.69"	"38.700"	"52.36"	"-0.80"	"1.30"	"Disabled"	"Disabled"	"Disabled"	"0.99"	
"7.01"	"9.82"	"36.620"	"51.75"	"-0.17"	"1.64"	"Disabled"	"Disabled"	"Disabled"	"2.13"	
"7.02"	"9.81"	"31.860"	"52.47"	"-0.40"	"1.81"	"Disabled"	"Disabled"	"Disabled"	"2.25"	
"7.03"	"9.79"	"31.700"	"52.00"	"-0.23"	"1.36"	"Disabled"	"Disabled"	"Disabled"	"2.25"	
"7.04"	"9.73"	"32.220"	"52.21"	"-0.23"	"0.62"	"Disabled"	"Disabled"	"Disabled"	"2.13"	
"7.05"	"9.59"	"34.380"	"53.77"	"-0.29"	"1.70"	"Disabled"	"Disabled"	"Disabled"	"2.25"	
"7.06"	"9.53"	"42.300"	"52.31"	"-0.29"	"1.81"	"Disabled"	"Disabled"	"Disabled"	"2.25"	
"7.07"	"9.51"	"37.000"	"52.84"	"-0.17"	"1.08"	"Disabled"	"Disabled"	"Disabled"	"2.25"	
"7.08"	"9.39"	"37.660"	"53.91"	"-0.34"	"0.85"	"Disabled"	"Disabled"	"Disabled"	"2.20"	
"7.09"	"9.35"	"41.220"	"52.69"	"0.00"	"1.42"	"Disabled"	"Disabled"	"Disabled"	"2.20"	
"7.10"	"9.30"	"38.340"	"52.49"	"0.11"	"0.68"	"Disabled"	"Disabled"	"Disabled"	"2.20"	
"7.11"	"9.12"	"37.600"	"53.39"	"-0.06"	"1.19"	"Disabled"	"Disabled"	"Disabled"	"2.25"	
"7.12"	"9.04"	"39.920"	"52.92"	"-0.23"	"1.25"	"Disabled"	"Disabled"	"Disabled"	"2.20"	
"7.13"	"8.84"	"39.660"	"53.63"	"0.06"	"1.19"	"Disabled"	"Disabled"	"Disabled"	"2.20"	
"7.14"	"8.72"	"41.460"	"53.40"	"-0.29"	"0.68"	"Disabled"	"Disabled"	"Disabled"	"2.20"	
"7.15"	"8.62"	"41.980"	"53.64"	"-0.23"	"1.13"	"Disabled"	"Disabled"	"Disabled"	"2.25"	
"7.16"	"8.61"	"41.840"	"53.94"	"-0.17"	"0.96"	"Disabled"	"Disabled"	"Disabled"	"2.25"	
"7.17"	"8.53"	"40.140"	"53.90"	"-0.51"	"1.36"	"Disabled"	"Disabled"	"Disabled"	"2.30"	
"7.18"	"8.55"	"38.260"	"54.82"	"-0.06"	"1.36"	"Disabled"	"Disabled"	"Disabled"	"2.25"	
"7.19"	"8.57"	"36.880"	"53.75"	"-0.63"	"1.19"	"Disabled"	"Disabled"	"Disabled"	"2.20"	
"7.20"	"8.67"	"33.180"	"54.19"	"-0.57"	"1.53"	"Disabled"	"Disabled"	"Disabled"	"2.25"	
"7.21"	"8.77"	"34.020"	"53.97"	"-0.23"	"1.42"	"Disabled"	"Disabled"	"Disabled"	"2.25"	
"7.22"	"8.79"	"32.720"	"54.15"	"-0.29"	"1.36"	"Disabled"	"Disabled"	"Disabled"	"2.17"	
"7.23"	"8.98"	"33.760"	"54.19"	"0.40"	"0.79"	"Disabled"	"Disabled"	"Disabled"	"2.00"	
"7.24"	"8.77"	"35.820"	"54.15"	"-0.11"	"1.25"	"Disabled"	"Disabled"	"Disabled"	"2.20"	
"7.25"	"8.67"	"47.780"	"54.47"	"0.06"	"0.62"	"Disabled"	"Disabled"	"Disabled"	"2.17"	
"7.26"	"8.55"	"60.220"	"54.83"	"0.06"	"1.25"	"Disabled"	"Disabled"	"Disabled"	"2.25"	
"7.27"	"8.64"	"54.940"	"54.93"	"0.00"	"0.96"	"Disabled"	"Disabled"	"Disabled"	"2.25"	
"7.28"	"8.64"	"50.220"	"55.28"	"-0.51"	"1.30"	"Disabled"	"Disabled"	"Disabled"	"2.17"	
"7.29"	"8.67"	"49.940"	"54.97"	"-0.29"	"0.85"	"Disabled"	"Disabled"	"Disabled"	"1.95"	
"7.30"	"8.70"	"49.100"	"55.05"	"-0.11"	"1.70"	"Disabled"	"Disabled"	"Disabled"	"2.25"	
"7.31"	"8.57"	"48.420"	"55.27"	"-0.34"	"1.47"	"Disabled"	"Disabled"	"Disabled"	"2.25"	
"7.32"	"8.52"	"48.180"	"55.27"	"0.00"	"1.13"	"Disabled"	"Disabled"	"Disabled"	"2.17"	
"7.33"	"8.46"	"46.800"	"55.39"	"-0.06"	"1.47"	"Disabled"	"Disabled"	"Disabled"	"1.95"	
"7.34"	"8.41"	"45.900"	"55.37"	"-0.51"	"1.59"	"Disabled"	"Disabled"	"Disabled"	"2.25"	
"7.35"	"8.38"	"45.760"	"55.46"	"-0.23"	"1.08"	"Disabled"	"Disabled"	"Disabled"	"2.17"	
"7.36"	"8.38"	"45.720"	"55.51"	"0.06"	"1.36"	"Disabled"	"Disabled"	"Disabled"	"2.25"	
"7.37"	"8.34"	"42.880"	"55.50"	"0.00"	"1.30"	"Disabled"	"Disabled"	"Disabled"	"2.25"	
"7.38"	"8.42"	"40.000"	"55.04"	"-0.11"	"1.30"	"Disabled"	"Disabled"	"Disabled"	"2.13"	
"7.39"	"8.27"	"33.200"	"55.98"	"0.29"	"1.13"	"Disabled"	"Disabled"	"Disabled"	"2.25"	
"7.40"	"8.22"	"33.920"	"55.66"	"-0.29"	"1.25"	"Disabled"	"Disabled"	"Disabled"	"2.20"	
"7.41"	"8.20"	"38.500"	"56.13"	"0.06"	"1.64"	"Disabled"	"Disabled"	"Disabled"	"2.31"	
"7.42"	"8.27"	"32.720"	"55.66"	"-0.40"	"1.70"	"Disabled"	"Disabled"	"Disabled"	"2.13"	
"7.43"	"8.25"	"33.620"	"55.97"	"-0.46"	"1.36"	"Disabled"	"Disabled"	"Disabled"	"2.25"	
"7.44"	"8.16"	"35.620"	"55.95"	"0.06"	"1.81"	"Disabled"	"Disabled"	"Disabled"	"2.25"	
"7.45"	"7.90"	"30.500"	"56.06"	"-0.17"	"1.42"	"Disabled"	"Disabled"	"Disabled"	"1.95"	
"7.46"	"7.96"	"31.540"	"55.70"	"-0.11"	"1.36"	"Disabled"	"Disabled"	"Disabled"	"2.33"	
"7.47"	"8.16"	"29.120"	"55.97"	"0.00"	"0.79"	"Disabled"	"Disabled"	"Disabled"	"2.00"	
"7.48"	"8.05"	"26.640"	"56.60"	"-0.06"	"1.08"	"Disabled"	"Disabled"	"Disabled"	"0.06"	
"7.49"	"8.13"	"30.560"	"56.37"	"-0.11"	"0.96"	"Disabled"	"Disabled"	"Disabled"	"0.83"	
"7.50"	"8.09"	"29.020"	"57.41"	"-0.06"	"1.42"	"Disabled"	"Disabled"	"Disabled"	"0.83"	
"7.51"	"7.62"	"32.500"	"57.23"	"0.00"	"1.08"	"Disabled"	"Disabled"	"Disabled"	"1.30"	
"7.52"	"7.64"	"33.120"	"57.04"	"-0.40"	"1.53"	"Disabled"	"Disabled"	"Disabled"	"2.20"	
"7.53"	"7.56"	"30.840"	"57.23"	"-0.11"	"1.08"	"Disabled"	"Disabled"	"Disabled"	"2.00"	
"7.54"	"7.47"	"29.880"	"57.60"	"-0.17"	"1.42"	"Disabled"	"Disabled"	"Disabled"	"2.33"	
"7.55"	"7.47"	"29.120"	"57.75"	"-0.06"	"1.13"	"Disabled"	"Disabled"	"Disabled"	"2.25"	
"7.56"	"7.40"	"28.480"	"58.08"	"-0.29"	"1.59"	"Disabled"	"Disabled"	"Disabled"	"2.25"	
"7.57"	"7.39"	"29.780"	"57.70"	"-0.17"	"1.30"	"Disabled"	"Disabled"	"Disabled"	"2.25"	
"7.58"	"7.41"	"29.440"	"58.11"	"0.00"	"1.42"	"Disabled"	"Disabled"	"Disabled"	"2.25"	
"7.59"	"7.37"	"31.840"	"58.34"	"-0.51"	"1.64"	"Disabled"	"Disabled"	"Disabled"	"2.13"	
"7.60"	"7.59"	"33.780"	"57.98"	"-0.69"	"1.13"	"Disabled"	"Disabled"	"Disabled"	"2.25"	
"7.61"	"7.66"	"35.860"	"58.08"	"-0.06"	"1.30"	"Disabled"	"Disabled"	"Disabled"	"2.25"	
"7.62"	"7.77"	"38.280"	"59.32"	"-0.34"	"1.02"	"Disabled"	"Disabled"	"Disabled"	"2.25"	
"7.63"	"7.86"	"47.440"	"57.18"	"-0.46"	"1.08"	"Disabled"	"Disabled"	"Disabled"	"2.13"	
"7.64"	"7.77"	"39.340"	"58.04"	"0.17"	"1.13"	"Disabled"	"Disabled"	"Disabled"	"2.25"	
"7.65"	"7.57"	"43.860"	"58.53"	"-0.51"	"2.10"	"Disabled"	"Disabled"	"Disabled"	"2.25"	
"7.66"	"7.77"	"43.620"	"58.22"	"-0.06"	"1.81"	"Disabled"	"Disabled"	"Disabled"	"2.25"	
"7.67"	"7.94"	"39.200"	"58.04"	"0.34"	"1.42"	"Disabled"	"Disabled"	"Disabled"	"2.13"	
"7.68"	"7.97"	"42.760"	"57.73"	"-0.29"	"2.61"	"Disabled"	"Disabled"	"Disabled"	"2.25"	
"7.69"	"7.86"	"45.000"	"58.41"	"-0.97"	"1.36"	"Disabled"	"Disabled"	"Disabled"	"2.25"	
"7.70"	"7.78"	"45.940"	"58.65"	"0.80"	"1.02"	"Disabled"	"Disabled"	"Disabled"	"2.25"	
"7.71"	"8.41"	"41.840"	"59.08"	"0.34"	"1.25"	"Disabled"	"Disabled"	"Disabled"	"2.17"	
"7.72"	"8.50"	"39.740"	"58.81"	"-0.29"	"2.15"	"Disabled"	"Disabled"	"Disabled"	"2.25"	
"7.73"	"8.70"	"38.620"	"58.97"	"-0.51"	"1.93"	"Disabled"	"Disabled"	"Disabled"	"2.00"	
"7.74"	"8.76"	"33.560"	"60.58"	"-0.63"	"0.11"	"Disabled"	"Disabled"	"Disabled"	"2.13"	
"7.75"	"8.88"	"29.940"	"58.29"	"0.06"	"1.02"	"Disabled"	"Disabled"	"Disabled"	"2.25"	
"7.76"	"8.74"	"25.540"	"59.64"	"-1.26"	"2.89"	"Disabled"	"Disabled"	"Disabled"	"2.25"	
"7.77"	"8.56"	"29.280"	"59.00"	"-0.34"	"1.42"	"Disabled"	"Disabled"	"Disabled"	"2.17"	
"7.78"	"8.76"	"25.480"	"59.46"	"-0.06"	"0.06"	"Disabled"	"Disabled"	"Disabled"	"2.00"	
"7.79"	"8.78"	"23.720"	"59.41"	"1.14"	"2.49"	"Disabled"	"Disabled"	"Disabled"	"2.20"	
"7.80"	"9.31"	"25.960"	"60.06"	"-0.11"	"1.19"	"Disabled"	"Disabled"	"Disabled"	"2.17"	
"7.81"	"9.43"	"24.120"	"60.11"	"0.46"	"2.21"	"Disabled"	"Disabled"	"Disabled"	"1.95"	
"7.82"	"9.21"	"22.540"	"60.50"	"-0.11"	"1.87"	"Disabled"	"Disabled"	"Disabled"	"2.25"	
"7.83"	"9.22"	"27.200"	"59.74"	"0.00"	"0.23"	"Disabled"	"Disabled"	"Disabled"	"2.00"	
"7.84"	"9.40"	"27.060"	"60.48"	"0.11"	"2.32"	"Disabled"	"Disabled"	"Disabled"	"2.25"	
"7.85"	"9.61"	"31.620"	"59.74"	"-0.29"	"1.36"	"Disabled"	"Disabled"	"Disabled"	"1.95"	
"7.86"	"9.71"	"36.820"	"59.99"	"-0.46"	"2.15"	"Disabled"	"Disabled"	"Disabled"	"2.17"	
